advertiser,year,month,amount_usd,avisos,status
ECUADOR EN POSITIVO,2026,6,74.93,4,verificado
ECUADOR EXTREME TOUR,2026,2,300.02,1,verificado
ECUADOR NEGOCIOS OPORTUNIDADES         E,2026,2,11.95,1,verificado
ECUADOR PIPOL,2026,1,701.95,69,verificado
ECUADOR PIPOL,2026,2,841.44,83,verificado
ECUADOR PIPOL,2026,3,52.13,8,verificado
ECUADOR TRAVEL,2026,5,231.0,15,verificado
ECUADOR TRAVEL COURRIER,2026,5,7.7,1,verificado
ECUADOR TV,2026,2,4.14,1,verificado
ECUADORIAN HANDS,2026,5,255.95,1,verificado
ECUADORIAN PILOT SERVICE S.A.,2026,4,548.5,1,verificado
ECUAENVASES,2026,5,511.89,2,verificado
ECUAGEN,2026,1,383.67,90,verificado
ECUAGEN,2026,2,298.41,70,verificado
ECUAGEN,2026,3,362.36,85,verificado
ECUAGEN,2026,4,746.9,97,verificado
ECUAGEN,2026,5,577.5,75,verificado
ECUAGEN,2026,6,46.2,6,verificado
ECUAGENERA,2026,4,1707.32,2,verificado
ECUAGOLD S.A.,2026,1,86.42,6,verificado
ECUAGOLD S.A.,2026,3,72.01,5,verificado
ECUAGOLD S.A.,2026,4,63.0,3,verificado
ECUAGOLD S.A.,2026,5,105.0,5,verificado
ECUAIRE,2026,5,2947.23,1,verificado
ECUAMANGUERAS,2026,2,1104.43,5,verificado
ECUAMAQ,2026,3,329.07,2,verificado
ECUAMAQ,2026,4,201.1,1,verificado
ECUANET,2026,2,11603.13,186,verificado
ECUANET,2026,3,35161.25,637,verificado
ECUANET,2026,4,22300.06,181,verificado
ECUANET,2026,5,46462.98,468,verificado
ECUANET,2026,6,2565.16,59,verificado
ECUAPOLIZAS,2026,5,511.89,2,verificado
ECUAPRIMAS,2026,2,965.25,1,verificado
ECUAQUIMICA,2026,2,422.33,2,verificado
ECUAQUIMICA,2026,3,5049.05,25,verificado
ECUAQUIMICA,2026,4,5296.4,21,verificado
ECUAQUIMICA,2026,5,5967.83,22,verificado
ECUAQUIMICA,2026,6,280.02,1,verificado
ECUASANITAS,2026,1,436.5,65,verificado
ECUASANITAS,2026,2,2094.34,330,verificado
ECUASANITAS,2026,3,3900.52,412,verificado
ECUASANITAS,2026,4,6321.89,476,verificado
ECUASANITAS,2026,5,4691.8,406,verificado
ECUASANITAS,2026,6,360.31,33,verificado
ECUATICS,2026,2,402.2,2,verificado
ECUATICS,2026,3,658.14,4,verificado
ECUAVALLAS,2026,1,161.95,41,verificado
ECUAVALLAS,2026,2,389.73,99,verificado
ECUAVALLAS,2026,3,425.28,109,verificado
ECUAVALLAS,2026,4,476.16,113,verificado
ECUAVALLAS,2026,5,471.79,110,verificado
ECUAVALLAS,2026,6,43.68,10,verificado
ECUAVICHE,2026,3,5.39,1,verificado
ECUAVISA,2026,1,624558.83,11473,verificado
ECUAVISA,2026,2,762302.22,9729,verificado
ECUAVISA,2026,3,707325.23,10404,verificado
ECUAVISA,2026,4,1009099.65,10642,verificado
ECUAVISA,2026,5,1008282.81,12551,verificado
ECUAVISA,2026,6,69509.83,745,verificado
EDAL LONCERIA & CRISTALERIA,2026,1,252.03,1,verificado
EDCA BRAND,2026,2,4675.61,24,verificado
EDCA BRAND,2026,3,2303.5,14,verificado
EDCA BRAND,2026,4,1407.71,7,verificado
EDCA BRAND,2026,5,767.84,3,verificado
EDCASPORT S.A,2026,2,3167.35,18,verificado
EDCASPORT S.A,2026,3,1316.29,8,verificado
EDCASPORT S.A,2026,4,2815.42,14,verificado
EDCASPORT S.A,2026,5,511.89,2,verificado
EDDY S,2026,2,1757.05,131,verificado
EDDY S,2026,3,3744.41,25,verificado
EDDY S,2026,4,1689.22,7,verificado
EDDY S,2026,5,9540.3,36,verificado
EDDY S,2026,6,280.02,1,verificado
EDESA,2026,4,918.75,1,verificado
EDIASA,2026,4,1451.07,5,verificado
EDIASA,2026,5,88.2,1,verificado
EDIF. PLATINIUM,2026,5,179.25,1,verificado
EDIFICA,2026,3,8226.8,50,verificado
EDIFICA,2026,4,2423.0,222,verificado
EDIFICA,2026,5,4477.16,279,verificado
EDIMCA,2026,3,208.01,1,verificado
EDIMCA,2026,5,280.02,1,verificado
EDOPLAST S.A.,2026,2,14.95,8,verificado
EDOPLAST S.A.,2026,3,3.74,2,verificado
EDOPLAST S.A.,2026,4,13.27,3,verificado
EDUARDO CARMIGNIANI VALENCIA,2026,1,28252.19,4,verificado
EDUARDO CARMIGNIANI VALENCIA,2026,2,1554.1,1,verificado
EDUARDO CARMIGNIANI VALENCIA,2026,4,1097.01,1,verificado
EF,2026,2,1407.71,7,verificado
EF,2026,3,329.07,2,verificado
EF,2026,5,511.89,2,verificado
EFIT ECUADOR,2026,5,511.89,2,verificado
EGALI INTERCAMBIO,2026,5,255.95,1,verificado
EGO,2026,4,61601.57,268,verificado
EGO,2026,5,22138.82,209,verificado
EGO,2026,6,1869.07,20,verificado
EKA CORPORACION S.A.,2026,3,416.03,2,verificado
EKA CORPORACION S.A.,2026,4,402.2,2,verificado
EKA CORPORACION S.A.,2026,5,3495.8,12,verificado
EKOS,2026,1,610.27,103,verificado
EKOS,2026,2,6469.28,145,verificado
EKOS,2026,3,10678.61,193,verificado
EKOS,2026,4,12653.09,130,verificado
EKOS,2026,5,3845.24,63,verificado
EKOS,2026,6,248.97,5,verificado
EKS GRUPO INMOB.,2026,4,201.1,1,verificado
EL ALABADO,2026,2,201.1,1,verificado
EL AMBATEÑO,2026,3,624.04,3,verificado
EL AMBATEÑO,2026,4,496.04,2,verificado
EL ARBOLITO (MUEBLES),2026,2,201.1,1,verificado
EL ARBOLITO (MUEBLES),2026,4,402.2,2,verificado
EL BARRIL BAR REST.,2026,5,1023.78,4,verificado
EL BODEGON,2026,2,2011.01,10,verificado
EL BODEGON,2026,3,13619.8,69,verificado
EL BODEGON,2026,4,603.3,3,verificado
EL BODEGON,2026,5,840.06,3,verificado
EL BOSQUE,2026,1,1513.23,174,verificado
EL BOSQUE,2026,2,7596.44,107,verificado
EL BOSQUE,2026,3,5338.12,151,verificado
EL BOSQUE,2026,4,9318.41,258,verificado
EL BOSQUE,2026,5,4461.82,68,verificado
EL BOSQUE,2026,6,319.93,2,verificado
EL CANAL DEL FUTBOL.COM,2026,1,603.29,102,verificado
EL CANAL DEL FUTBOL.COM,2026,2,1705.22,315,verificado
EL CANAL DEL FUTBOL.COM,2026,3,1772.5,58,verificado
EL CHACAL PARRILLA,2026,1,51.55,8,verificado
EL CHACAL PARRILLA,2026,2,83.77,13,verificado
EL CHACAL PARRILLA,2026,3,180.43,28,verificado
EL CHACAL PARRILLA,2026,4,354.27,29,verificado
EL CHACAL PARRILLA,2026,5,268.76,22,verificado
EL CHACAL PARRILLA,2026,6,36.65,3,verificado
EL CHAGRILLO,2026,2,201.1,1,verificado
EL CHANCHITO DE BERTHITA,2026,1,108.39,58,verificado
EL CHANCHITO DE BERTHITA,2026,2,63.54,34,verificado
EL CHANCHITO DE BERTHITA,2026,3,156.98,84,verificado
EL CHANCHITO DE BERTHITA,2026,4,349.36,79,verificado
EL CHANCHITO DE BERTHITA,2026,5,265.33,60,verificado
EL CHANCHITO DE BERTHITA,2026,6,35.38,8,verificado
EL CHARRITO,2026,2,1800.12,5,verificado
EL COCINERO,2026,2,12.5,1,verificado
EL COCINERO,2026,4,20844.28,389,verificado
EL COCINERO,2026,5,12860.75,403,verificado
EL COCINERO,2026,6,653.44,10,verificado
EL COMERCIO,2026,1,378.84,63,verificado
EL COMERCIO,2026,2,574.79,119,verificado
EL COMERCIO,2026,3,537.13,106,verificado
EL COMERCIO,2026,4,769.5,116,verificado
EL COMERCIO,2026,5,653.48,95,verificado
EL COMERCIO,2026,6,51.02,7,verificado
EL CONQUISTADOR,2026,2,201.1,1,verificado
EL CORREO,2026,1,2555.55,10,verificado
EL CORREO,2026,2,9028.71,21,verificado
EL CORREO,2026,3,8181.91,19,verificado
EL CORREO,2026,4,16960.32,44,verificado
EL CORREO,2026,5,10798.51,35,verificado
EL CORREO,2026,6,22.03,1,verificado
EL CORTE STEAK HOUSE,2026,2,9250.64,43,verificado
EL CORTE STEAK HOUSE,2026,3,10201.18,50,verificado
EL CORTE STEAK HOUSE,2026,4,7641.84,36,verificado
EL CORTE STEAK HOUSE,2026,5,9214.03,35,verificado
EL CORTE STEAK HOUSE,2026,6,511.89,2,verificado
EL CORTEZ STEAKHOUSE,2026,1,36.54,6,verificado
EL DIAN,2026,1,6276.82,32,verificado
EL DIAN,2026,2,6001.5,30,verificado
EL DIARIO,2026,1,2393.8,9,verificado
EL DIARIO,2026,2,2686.67,22,verificado
EL DIARIO,2026,3,7548.5,50,verificado
EL DIARIO,2026,4,16945.98,73,verificado
EL DIARIO,2026,5,6120.01,40,verificado
EL DIARIO DE PORTOVIEJO,2026,1,336.04,1,verificado
EL DOBLEZ,2026,2,201.1,1,verificado
EL DOBLEZ,2026,3,658.14,4,verificado
EL DOLAR,2026,4,804.4,3,verificado
EL EMPAQUE,2026,3,208.01,1,verificado
EL EMPAQUE,2026,4,248.02,1,verificado
EL EMPAQUE,2026,6,280.02,1,verificado
EL ESPAÑOL GOURMET,2026,2,5100.37,17,verificado
EL ESPAÑOL GOURMET,2026,3,3328.23,16,verificado
EL ESPAÑOL GOURMET,2026,4,2138.34,9,verificado
EL ESPAÑOL GOURMET,2026,5,3239.86,12,verificado
EL ESPAÑOL GOURMET,2026,6,560.04,2,verificado
EL FAROL BISTRO LOUNGE,2026,2,201.1,1,verificado
EL GANSO,2026,2,201.1,1,verificado
EL GANSO,2026,3,493.61,3,verificado
EL GATO PORTOVEJENSE,2026,2,17.05,1,verificado
EL GOLPE,2026,5,1120.08,4,verificado
EL GOLPE,2026,6,560.04,2,verificado
EL GRAN REMATE,2026,4,17942.31,529,verificado
EL GRAN REMATE,2026,5,1042.98,43,verificado
EL HORNERO REST,2026,2,603.3,3,verificado
EL HORNERO REST,2026,3,1872.12,8,verificado
EL HORNERO REST,2026,4,744.06,3,verificado
EL HORNERO REST,2026,5,767.84,3,verificado
EL MAESTRO,2026,1,918.46,71,verificado
EL MAESTRO,2026,2,33.9,4,verificado
EL MAESTRO,2026,5,1023.78,4,verificado
EL MANANTIAL BAR,2026,4,402.2,2,verificado
EL MAX,2026,2,5007.97,19,verificado
EL MAX,2026,3,3949.91,18,verificado
EL MAX,2026,4,3050.01,14,verificado
EL MAX,2026,5,3360.22,11,verificado
EL MERKATO.COM,2026,3,416.03,2,verificado
EL MONTADERO,2026,3,164.54,1,verificado
EL OFICIAL,2026,2,201.1,1,verificado
EL ORDEÑO,2026,2,804.41,4,verificado
EL PADRINO PIZZERIA,2026,5,767.84,3,verificado
EL PALACIO DEL PERFUME,2026,2,201.1,1,verificado
EL PARTIDO DE LA HISTORIA,2026,1,120964.98,1071,verificado
EL PARTIDO DE LA HISTORIA,2026,2,68665.6,549,verificado
EL PARTIDO DE TU VIDA,2026,1,9389.35,473,verificado
EL PASEO SHOPPING,2026,1,319.27,96,verificado
EL PASEO SHOPPING,2026,2,1960.95,49,verificado
EL PASEO SHOPPING,2026,3,815.02,22,verificado
EL PASEO SHOPPING,2026,4,895.03,80,verificado
EL PASEO SHOPPING,2026,5,1319.32,124,verificado
EL PASEO SHOPPING,2026,6,315.86,5,verificado
EL PORTEÑO (RESTAURANTE),2026,5,255.95,1,verificado
EL RANCHO,2026,2,39.24,14,verificado
EL RANCHO,2026,3,117.73,42,verificado
EL RANCHO,2026,4,271.97,41,verificado
EL RANCHO,2026,5,133.4,19,verificado
EL REBAJON,2026,2,600.04,2,verificado
EL REBAJON,2026,3,537.09,3,verificado
EL REBAJON,2026,4,496.03,1,verificado
EL REY DE LAS MENESTRAS,2026,3,329.07,2,verificado
EL REY DE LAS MENESTRAS,2026,4,248.02,1,verificado
EL SALONCITO,2026,4,248.02,1,verificado
EL TEATRO SCALA CUMBAYA,2026,1,1066.57,9,verificado
EL TEATRO SCALA CUMBAYA,2026,2,1769.62,1,verificado
EL TEATRO SCALA CUMBAYA,2026,4,477.54,6,verificado
EL TEATRO SCALA CUMBAYA,2026,5,3095.78,98,verificado
EL TERNERITO,2026,1,83.89,2,verificado
EL TERNERITO,2026,2,335.56,8,verificado
EL TESORO,2026,1,5106.04,45,verificado
EL TESORO,2026,2,850.21,8,verificado
EL TOKTE,2026,2,9675.63,28,verificado
EL TOKTE,2026,3,8112.5,31,verificado
EL TOKTE,2026,4,496.04,2,verificado
EL TROMPO,2026,4,2614.31,12,verificado
EL UNIVERSO,2026,1,341432.21,359,verificado
EL UNIVERSO,2026,2,272795.77,308,verificado
EL UNIVERSO,2026,3,316497.99,277,verificado
EL UNIVERSO,2026,4,332335.41,314,verificado
EL UNIVERSO,2026,5,330294.28,274,verificado
EL UNIVERSO,2026,6,19001.86,15,verificado
ELANCO PETS,2026,2,300.02,1,verificado
ELECTRO AMERICA,2026,2,804.41,4,verificado
ELECTRO AMERICA,2026,3,987.22,6,verificado
ELECTRO CABLES C.A.,2026,1,16744.72,366,verificado
ELECTRO CABLES C.A.,2026,2,9917.55,442,verificado
ELECTRO CABLES C.A.,2026,3,10090.34,634,verificado
ELECTRO CABLES C.A.,2026,4,10688.68,598,verificado
ELECTRO CABLES C.A.,2026,5,9090.7,581,verificado
ELECTRO CABLES C.A.,2026,6,468.99,48,verificado
ELECTRO CABLES-TUBOS PACIFICOS,2026,2,1178.95,1,verificado
ELECTRO CABLES-TUBOS PACIFICOS,2026,4,943.21,1,verificado
ELECTRO CABLES-TUBOS PACIFICOS,2026,5,2265.35,3,verificado
ELECTRO OFERTAS,2026,2,201.1,1,verificado
ELECTRO OFERTAS,2026,5,1535.67,6,verificado
ELECTRO TECH,2026,4,2.21,1,verificado
ELECTRO TIENDA,2026,2,201.1,1,verificado
ELECTROLIT,2026,4,201.1,1,verificado
ELECTROLUX,2026,2,1991.08,5,verificado
ELECTROLUX,2026,3,1991.08,9,verificado
ELECTROLUX,2026,4,1883.62,18,verificado
ELECTROLUX,2026,5,3985.69,79,verificado
ELECTROLUX,2026,6,791.83,6,verificado
ELECTROMART,2026,2,201.1,1,verificado
ELECTROMART,2026,4,201.1,1,verificado
ELECTRONICA HIPER,2026,1,168.19,30,verificado
ELECTRONICA HIPER,2026,2,95.31,17,verificado
ELECTRONICA HIPER,2026,3,235.47,42,verificado
ELECTRONICA HIPER,2026,4,358.2,27,verificado
ELECTROQUIL S.A,2026,4,250.95,1,verificado
ELECTRORAL,2026,2,259.85,84,verificado
ELECTRORAL,2026,3,233.58,73,verificado
ELECTRORAL,2026,4,130.45,35,verificado
ELECTRORAL,2026,5,16.06,5,verificado
ELEMENTS TEA,2026,3,624.04,3,verificado
ELEMENTS TEA,2026,4,201.1,1,verificado
ELEMENTS TEA,2026,5,1023.78,4,verificado
ELEVEN BAR,2026,5,7.7,1,verificado
ELEXIAL,2026,2,639.03,93,verificado
ELEXIAL,2026,3,1102.1,154,verificado
ELEXIAL,2026,4,808.5,77,verificado
ELEXIAL,2026,5,273.0,26,verificado
ELEXIAL,2026,6,254.55,18,verificado
ELIT,2026,2,442.46,2,verificado
ELITE (PAPEL HIGIENICO),2026,2,3702.43,12,verificado
ELITE (PAPEL HIGIENICO),2026,3,832.05,3,verificado
ELIXIR WELLNESS,2026,3,329.07,2,verificado
ELIXIR WELLNESS,2026,4,1005.51,5,verificado
ELLE HOME,2026,5,1680.12,6,verificado
ELVIVE,2026,2,1846.91,8,verificado
ELVIVE,2026,3,4012.82,21,verificado
ELVIVE,2026,4,1725.61,6,verificado
ELVIVE,2026,5,10391.44,22,verificado
ELYON MEDICAL AESTHETICS,2026,2,59.01,5,verificado
EMAPA,2026,2,25.17,2,verificado
EMAPA,2026,3,62.92,5,verificado
EMAPA,2026,4,65.2,5,verificado
EMAPA,2026,5,78.24,6,verificado
EMAPAG,2026,1,175.47,28,verificado
EMAPAG,2026,3,5640.34,787,verificado
EMAPAG,2026,4,2901.82,191,verificado
EMAPAG,2026,5,1863.4,121,verificado
EMBUTIDOS DE LOS FRAILES,2026,2,978.33,5,verificado
EMBUTIDOS DE LOS FRAILES,2026,3,1983.81,11,verificado
EMBUTIDOS DE LOS FRAILES,2026,4,744.06,3,verificado
EMBUTIDOS DE LOS FRAILES,2026,5,1303.8,5,verificado
EMETEBE AIRLINES,2026,2,603.3,3,verificado
EMETEBE AIRLINES,2026,3,1161.13,6,verificado
EMETEBE AIRLINES,2026,6,280.02,1,verificado
EMP.PUBLICA METROPOL.DE AGUA POTAB.SANEA,2026,4,8695.43,762,verificado
EMP.PUBLICA METROPOL.DE AGUA POTAB.SANEA,2026,5,5588.55,470,verificado
EMP.PUBLICA METROPOL.DE AGUA POTAB.SANEA,2026,6,1894.07,93,verificado
EMPACADORA DEL LITORAL EMPACAR S.A.,2026,3,114.72,1,verificado
EMPACADORA TROPICAL S.A.,2026,3,114.72,1,verificado
EMPAPATE,2026,2,201.1,1,verificado
EMPORIO LUXURY MOTELS,2026,2,10.74,1,verificado
EMPRESA ELECT. RIOBAMBA,2026,5,483.98,1,verificado
EMPRESA METROP. ASEO DE CALLES (EMASEO),2026,4,2204.77,1,verificado
EMPRM,2026,2,201.1,1,verificado
EMPROVIT,2026,3,1040.07,5,verificado
EN LINEA,2026,2,201.1,1,verificado
ENCEBOLLADOS PICUAZO,2026,3,214.89,31,verificado
ENCIDENT,2026,1,4964.75,382,verificado
ENCIDENT,2026,2,3918.26,300,verificado
ENCIDENT,2026,3,4748.86,364,verificado
ENCIDENT,2026,4,2947.0,164,verificado
ENCUENTRO MATRIMONIAL,2026,2,5.92,1,verificado
ENERGIZER,2026,5,280.02,1,verificado
ENERGIZER,2026,6,560.04,2,verificado
ENERGY AMPER,2026,4,179028.86,1355,verificado
ENERGY AMPER,2026,5,124638.73,934,verificado
ENERGY AMPER,2026,6,8672.29,72,verificado
ENFAGROW,2026,2,1942.57,7,verificado
ENFAGROW,2026,3,3757.48,18,verificado
ENFAGROW,2026,4,6358.8,25,verificado
ENFAGROW,2026,5,280.02,1,verificado
ENFOQUE,2026,3,4607.46,2,verificado
ENFOQUE,2026,4,2303.73,1,verificado
ENI LUBRICANTES,2026,3,10192.71,49,verificado
ENI LUBRICANTES,2026,4,20444.73,75,verificado
ENI LUBRICANTES,2026,5,9168.41,33,verificado
ENI LUBRICANTES,2026,6,280.02,1,verificado
ENIGMA STHETIC CENTER,2026,2,1943.37,1,verificado
ENIGMA STHETIC CENTER,2026,3,2123.55,1,verificado
ENIGMA STHETIC CENTER,2026,6,1866.15,1,verificado
ENJOY IT SHOW,2026,2,882.09,5,verificado
ENJOY PRODUCCIONES EC,2026,1,446.8,55,verificado
ENJOY PRODUCCIONES EC,2026,2,2250.61,183,verificado
ENLACE NEGOCIOS FIDUCIARIOS S.A.,2026,4,215.1,1,verificado
ENSURE,2026,1,43023.07,254,verificado
ENSURE,2026,2,29487.49,207,verificado
ENSURE,2026,4,63499.68,519,verificado
ENSURE,2026,5,26057.1,260,verificado
ENSURE,2026,6,1646.73,9,verificado
ENTEREX,2026,2,201.1,1,verificado
ENTEROGERMINA,2026,2,69599.88,2326,verificado
ENTEROGERMINA,2026,3,63897.97,2370,verificado
ENTEROGERMINA,2026,4,69306.66,2207,verificado
ENTEROGERMINA,2026,5,65440.46,1693,verificado
ENTEROGERMINA,2026,6,3645.67,31,verificado
ENTERPRISE,2026,4,804.41,4,verificado
ENTERPRISE,2026,6,255.95,1,verificado
ENTERPRISE MOTORS,2026,3,164.54,1,verificado
ENV,2026,4,4830.3,3,verificado
ENVAMET S.A,2026,4,50.19,1,verificado
ENVASADORA ECUATORIANA S.A.,2026,4,200.76,1,verificado
ENVATUB S.A.,2026,4,496.04,2,verificado
ENVOY,2026,1,15.58,2,verificado
EPSILON SPORT ZONE,2026,1,32.22,5,verificado
EPSILON SPORT ZONE,2026,2,238.43,37,verificado
EPSILON SPORT ZONE,2026,3,463.97,72,verificado
EPSILON SPORT ZONE,2026,4,855.14,70,verificado
EPSILON SPORT ZONE,2026,5,757.41,62,verificado
EPSILON SPORT ZONE,2026,6,85.51,7,verificado
EPSON,2026,1,94.8,16,verificado
EPSON,2026,2,1686.19,54,verificado
EPSON,2026,3,931.63,23,verificado
EPSON,2026,4,216.04,4,verificado
EPSON,2026,5,255.95,1,verificado
EPSON,2026,6,280.02,1,verificado
EQPETS,2026,2,603.3,3,verificado
EQPETS,2026,3,745.1,4,verificado
EQPETS,2026,4,248.02,1,verificado
EQPETS,2026,5,1680.12,6,verificado
EQUIBRAL,2026,2,16513.98,165,verificado
EQUIBRAL,2026,3,10248.02,81,verificado
EQUIBRAL,2026,4,11576.65,49,verificado
EQUIBRAL,2026,5,15638.74,85,verificado
EQUIFAX S.A.,2026,2,2409.95,10,verificado
EQUIFAX S.A.,2026,3,866.16,5,verificado
EQUIFAX S.A.,2026,4,2614.3,8,verificado
EQUINOX S.A.,2026,3,754.56,1,verificado
EQUISUIZA SEGUROS,2026,1,3.26,1,verificado
EQUISUIZA SEGUROS,2026,2,37572.24,191,verificado
EQUISUIZA SEGUROS,2026,3,10108.4,39,verificado
EQUISUIZA SEGUROS,2026,4,11159.57,32,verificado
EQUISUIZA SEGUROS,2026,5,10640.73,38,verificado
EQUISUIZA SEGUROS,2026,6,840.06,3,verificado
EQUITRANSA,2026,2,2011.01,10,verificado
ERKE,2026,2,1407.71,7,verificado
ERKE,2026,3,5100.62,31,verificado
ERKE,2026,5,2703.9,10,verificado
ERRETZ,2026,4,603.3,3,verificado
ESADE BUSINESS SCHOOL,2026,2,1991.08,6,verificado
ESADE BUSINESS SCHOOL,2026,3,221.23,1,verificado
ESADE BUSINESS SCHOOL,2026,4,2013.21,7,verificado
ESC. DE AVIACION AVIACIONESAV,2026,3,5776.93,222,verificado
ESC. DE AVIACION AVIACIONESAV,2026,4,3696.01,99,verificado
ESC. DE AVIACION PASTAZA,2026,2,100.24,8,verificado
ESC. DE AVIACION PASTAZA,2026,3,187.95,15,verificado
ESC. DE CONDUCCION UEES,2026,5,280.02,1,verificado
ESCOBAR BEER,2026,3,416.03,2,verificado
ESCOSAN,2026,2,179.0,17,verificado
ESCOSAN,2026,3,85.8,8,verificado
ESCOSAN,2026,4,123.2,11,verificado
ESCOSAN,2026,5,89.6,8,verificado
ESCRIBE,2026,2,6000.42,19,verificado
ESCRIBE,2026,3,208.01,1,verificado
ESCRIBE,2026,4,1628.69,91,verificado
ESCRIBE,2026,5,645.53,36,verificado
ESCUALEM S.A.,2026,2,119.5,1,verificado
ESCUALEM S.A.,2026,3,301.14,1,verificado
ESCUALEM S.A.,2026,5,143.4,1,verificado
ESCUELA DE PILOTOS AVIACIONES ESAV,2026,3,576.07,24,verificado
ESCUELA DE PILOTOS AVIACIONES ESAV,2026,4,1735.94,48,verificado
ESCUELA DE PILOTOS AVIACIONES ESAV,2026,5,314.98,9,verificado
ESCUELA PARA HUMANOS,2026,1,363.63,46,verificado
ESCUELA PARA HUMANOS,2026,2,648.21,82,verificado
ESCUELA PARA HUMANOS,2026,3,711.45,90,verificado
ESCUELA PARA HUMANOS,2026,4,1089.67,71,verificado
ESCUELA POLITECNICA DE MANABI,2026,1,210.03,1,verificado
ESCUELA POLITECNICA NACIONAL,2026,5,4686.94,207,verificado
ESCUELA POLITECNICA NACIONAL,2026,6,69.16,5,verificado
ESCULAPIO S.A.,2026,5,125.47,1,verificado
ESIKA,2026,2,43310.5,93,verificado
ESIKA,2026,3,76627.16,864,verificado
ESIKA,2026,4,62240.1,530,verificado
ESIKA,2026,5,27405.07,66,verificado
ESIKA,2026,6,2427.08,6,verificado
ESPN,2026,1,220.0,18,verificado
ESPN,2026,3,24.44,2,verificado
ESPOL,2026,2,1200.09,4,verificado
ESPOL,2026,3,5310.82,13,verificado
ESPOL,2026,4,984.15,6,verificado
ESPOL,2026,5,2520.17,9,verificado
ESPRIT,2026,2,4002.45,12,verificado
ESPRIT,2026,4,402.2,2,verificado
ESTELAR,2026,4,3143.84,14,verificado
ESTELAR,2026,5,2469.81,10,verificado
ESTHER RESTAURANT,2026,3,624.04,3,verificado
ESTILO,2026,2,201.1,1,verificado
ESTILO,2026,4,1423.36,93,verificado
ESTILO,2026,5,3953.72,129,verificado
ESTRELLA,2026,3,442.46,2,verificado
ESTRELLA,2026,4,965.25,1,verificado
ESTRUSA,2026,5,511.89,2,verificado
ESTUDIO JURIDICO BRITO & BRITO,2026,2,434.97,45,verificado
ESTUDIO JURIDICO BRITO & BRITO,2026,3,618.62,64,verificado
ESTUDIO JURIDICO BRITO & BRITO,2026,4,1172.77,64,verificado
ESTUDIO JURIDICO BRITO & BRITO,2026,5,1081.15,59,verificado
ESTUDIO JURIDICO BRITO & BRITO,2026,6,109.95,6,verificado
ESTUDIO JURIDICO LITASE,2026,3,3.95,1,verificado
ESTUDIO JURIDICO LITASE,2026,4,144.16,33,verificado
ESTUDIO JURIDICO LITASE,2026,5,131.05,30,verificado
ESTUDIO JURIDICO LITASE,2026,6,17.47,4,verificado
ESTUDIO JURIDICO R & A,2026,1,52.33,14,verificado
ESTUDIO JURIDICO R & A,2026,2,29.9,8,verificado
ESTUDIO JURIDICO R & A,2026,3,37.38,10,verificado
ESTUDIO JURIDICO R & A,2026,4,391.57,28,verificado
ESTUDIO JURIDICO R & A,2026,5,196.67,18,verificado
ESTUDIO JURIDICO R & A,2026,6,17.69,2,verificado
ETAFASHION,2026,1,86086.3,264,verificado
ETAFASHION,2026,2,106229.94,400,verificado
ETAFASHION,2026,3,110141.14,671,verificado
ETAFASHION,2026,4,120734.79,924,verificado
ETAFASHION,2026,5,154835.89,1114,verificado
ETAFASHION,2026,6,2618.36,14,verificado
ETAPA,2026,2,391.33,1,verificado
ETAPA,2026,3,302.93,4,verificado
ETAPA,2026,4,275.56,1,verificado
ETAPA,2026,5,462.33,1,verificado
ETERNIA DERMA CENTER,2026,1,80.8,5,verificado
ETERNIT,2026,5,280.02,1,verificado
ETERNO PARAISO,2026,1,145.53,1,verificado
ETIMET,2026,4,25.2,2,verificado
ETIMET,2026,5,635.59,53,verificado
ETIMET,2026,6,58.8,5,verificado
ETNIKER,2026,3,416.03,2,verificado
ETNIKER,2026,4,496.04,2,verificado
ETNIKER,2026,6,560.04,2,verificado
EUCERIN,2026,2,13960.73,54,verificado
EUCERIN,2026,3,16198.38,64,verificado
EUCERIN,2026,4,15394.28,53,verificado
EUCERIN,2026,5,14341.87,48,verificado
EUCERIN,2026,6,511.89,2,verificado
EUDE,2026,2,1019.88,6,verificado
EUDE,2026,3,1490.2,7,verificado
EUDE,2026,4,3797.42,18,verificado
EUDE,2026,5,1023.78,4,verificado
EUDE,2026,6,280.02,1,verificado
EUPHORIE ENTERTAINMENT,2026,1,717.36,117,verificado
EUPHORIE ENTERTAINMENT,2026,2,3197.35,447,verificado
EUPHORIE ENTERTAINMENT,2026,3,6848.32,180,verificado
EUROBLINDS,2026,1,55.42,13,verificado
EUROBLINDS,2026,2,83.8,45,verificado
EUROBLINDS,2026,3,4.68,4,verificado
EUROBLINDS,2026,4,1.26,4,verificado
EUROBUILDING,2026,1,17.05,4,verificado
EUROFARMA,2026,3,658.14,4,verificado
EUROPCAR,2026,2,2150.33,20,verificado
EUROPCAR,2026,3,3583.86,25,verificado
EUROPCAR,2026,4,2481.12,6,verificado
EUROPCAR,2026,5,8821.8,46,verificado
EUROPCAR,2026,6,1102.72,3,verificado
EVACARE,2026,3,1533.68,8,verificado
EVACARE,2026,4,992.08,4,verificado
EVACARE,2026,5,6416.36,22,verificado
EVACARE,2026,6,840.06,3,verificado
EVACOPA,2026,2,402.2,2,verificado
EVACOPA,2026,3,1638.97,3,verificado
EVACOPA,2026,4,1595.38,7,verificado
EVACOPA,2026,5,1400.1,5,verificado
